user_id,nickname,sex,sign,avatar,last_modify_ts,total_fans,total_liked,user_rank,is_official
443345922,张雪峰助考助研,保密,高考、考研、考公、就业全了解。点个关注吧,https://i0.hdslb.com/bfs/face/16c02b4011b9011b9dea6357fab89df56df78d4f.jpg,1.76522E+12,50208,539098,6,-1
3.53711E+15,张雪峰直播精选,男,人生成功路，志愿第一步！,https://i1.hdslb.com/bfs/face/59a1a1f085c17a27f546958c8445d79459952aac.jpg,1.76522E+12,15512,76739,5,-1
694728656,张雪峰高考讲座,男,每日更新！带您全方位了解高考、考研和就业事宜,https://i2.hdslb.com/bfs/face/81f2b3a23894fe6dc460619705475732819075a8.jpg,1.76522E+12,25490,341128,5,-1
629303415,张雪峰高考志愿2025,保密,,https://i0.hdslb.com/bfs/face/a8ad98d0f18259f5ff26ec082dfd3486d139586e.jpg,1.76522E+12,11298,96768,5,-1
3.54686E+15,这伙计不懒,保密,JUST DO IT! | |《重生之高考夺回属于我的一切》,https://i1.hdslb.com/bfs/face/7461047d75e06710357b26570485a526dbd0c694.jpg,1.76522E+12,1497,1938,3,-1
3.54657E+15,张雪峰说考研就业,男,感谢您的关注，每天分享考研考公就业知识,https://i2.hdslb.com/bfs/face/32f57f888f2a89cb511d52107514a9e274835fa4.jpg,1.76522E+12,202300,2602517,6,-1
3.49309E+15,上岸先Z意中人,保密,,https://i1.hdslb.com/bfs/face/f0e09308ab824f0791d7521eddb5c44eb2f84c8d.jpg,1.76522E+12,20533,538363,5,-1
3.53711E+15,张雪峰直播精选,男,人生成功路，志愿第一步！,https://i1.hdslb.com/bfs/face/59a1a1f085c17a27f546958c8445d79459952aac.jpg,1.76522E+12,15512,76739,5,-1
93404819,听张雪峰讲升学规划,男,"八九年级和高中想拍链接下载‘峰学蔚来’app。直播时间某音张雪峰讲家庭教育周一五晚，绿泡泡周三晚。
本人非张雪峰不看私信，有问题可评论区讨论",https://i2.hdslb.com/bfs/face/2e38c794fbe65be9e74bc53d909ba1fe61bdea15.jpg,1.76522E+12,145289,601331,6,-1
1937035294,张雪峰谈升学规划,保密,分享志愿填报相关,https://i1.hdslb.com/bfs/face/2b3a1a1d22dba0ae8ffbd16ff1c8271987e07ea6.jpg,1.76522E+12,9056,136328,5,-1
3.54659E+15,张雪峰谈考研考公,保密,,https://i0.hdslb.com/bfs/face/a7fbe6f931530ac03d4f5a5769d2facd8433122c.jpg,1.76522E+12,28272,405683,6,-1
443345922,张雪峰助考助研,保密,高考、考研、考公、就业全了解。点个关注吧,https://i0.hdslb.com/bfs/face/16c02b4011b9011b9dea6357fab89df56df78d4f.jpg,1.76522E+12,50208,539098,6,-1
3.54689E+15,金炎学院2,保密,,https://i1.hdslb.com/bfs/face/3d065608ca4d2fd49afd2ccc915b416db188f1b5.jpg,1.76522E+12,3574,2504,3,-1
433174409,雪峰说规划,保密,"张老师授权账号（正版教辅）
✨分享超实用学习秘籍，助力孩子成绩快速提升。
橱窗有张老师 初高教辅图书 （正版授权） 放心下单！",https://i2.hdslb.com/bfs/face/56421019a4b37d670823962ed79b433686fb0d29.jpg,1.76522E+12,8206,74918,4,-1
93404819,听张雪峰讲升学规划,男,"八九年级和高中想拍链接下载‘峰学蔚来’app。直播时间某音张雪峰讲家庭教育周一五晚，绿泡泡周三晚。
本人非张雪峰不看私信，有问题可评论区讨论",https://i2.hdslb.com/bfs/face/2e38c794fbe65be9e74bc53d909ba1fe61bdea15.jpg,1.76522E+12,145289,601331,6,-1
3.53711E+15,张雪峰直播精选,男,人生成功路，志愿第一步！,https://i1.hdslb.com/bfs/face/59a1a1f085c17a27f546958c8445d79459952aac.jpg,1.76522E+12,15512,76739,5,-1
652522840,张雪峰说考研考公,男,带您全方位了解考研考公就业！,https://i1.hdslb.com/bfs/face/d641253ccbee6e9dec7af52156ae37c4488f77b1.jpg,1.76522E+12,565521,6619520,6,-1
443345922,张雪峰助考助研,保密,高考、考研、考公、就业全了解。点个关注吧,https://i0.hdslb.com/bfs/face/16c02b4011b9011b9dea6357fab89df56df78d4f.jpg,1.76522E+12,50208,539098,6,-1
195794393,峰乐一,男,张老师的一个小迷弟，看直播顺便分享下有趣的内容。,https://i2.hdslb.com/bfs/face/04e65619004809c677b0b9d0dbf2fde285609452.jpg,1.76522E+12,15367,901548,6,-1
93404819,听张雪峰讲升学规划,男,"八九年级和高中想拍链接下载‘峰学蔚来’app。直播时间某音张雪峰讲家庭教育周一五晚，绿泡泡周三晚。
本人非张雪峰不看私信，有问题可评论区讨论",https://i2.hdslb.com/bfs/face/2e38c794fbe65be9e74bc53d909ba1fe61bdea15.jpg,1.76522E+12,145289,601331,6,-1
1440295,一个凡老师,男,舆情公关、法律需求，商务合作：beartea0601（备注来意）,https://i1.hdslb.com/bfs/face/fd4825f62616a64079d52c03a51c1895c5c9f102.jpg,1.76522E+12,810003,6287315,6,0
694728656,张雪峰高考讲座,男,每日更新！带您全方位了解高考、考研和就业事宜,https://i2.hdslb.com/bfs/face/81f2b3a23894fe6dc460619705475732819075a8.jpg,1.76522E+12,25490,341128,5,-1
3.54689E+15,金炎学院2,保密,,https://i1.hdslb.com/bfs/face/3d065608ca4d2fd49afd2ccc915b416db188f1b5.jpg,1.76522E+12,3574,2504,3,-1
195794393,峰乐一,男,张老师的一个小迷弟，看直播顺便分享下有趣的内容。,https://i2.hdslb.com/bfs/face/04e65619004809c677b0b9d0dbf2fde285609452.jpg,1.76522E+12,15367,901548,6,-1
3.53711E+15,张雪峰直播精选,男,人生成功路，志愿第一步！,https://i1.hdslb.com/bfs/face/59a1a1f085c17a27f546958c8445d79459952aac.jpg,1.76522E+12,15512,76739,5,-1
1325837165,张雪峰说考研,保密,"真·研途张雪峰老师官方团队为你答疑解惑。
每日更新张雪峰老师独家知识点和爆笑段子

",https://i2.hdslb.com/bfs/face/7ab85d7af8d8d838bb1b9d54e54289ab17dc454f.jpg,1.76522E+12,367244,2838388,6,-1
652522840,张雪峰说考研考公,男,带您全方位了解考研考公就业！,https://i1.hdslb.com/bfs/face/d641253ccbee6e9dec7af52156ae37c4488f77b1.jpg,1.76522E+12,565521,6619522,6,-1
