major,data_type,positive_rate,confidence,mention_count,total_likes
中医学,comment,62.41610738255034,0.8076694407719094,149,726.0
中医学,content,93.47826086956522,0.9147309583166371,46,31850.0
临床医学,comment,72.18045112781954,0.8160398987084322,1463,20829.0
临床医学,content,89.42307692307693,0.9056402727579459,312,394968.0
临床医学,video,100.0,0.9161101380983988,3,34764.0
人力资源,comment,70.27027027027027,0.8360213664200928,111,2752.0
人力资源,content,93.10344827586206,0.8591207163087253,29,10400.0
人工智能,comment,72.51461988304094,0.8462710380554199,171,988.0
人工智能,content,94.6969696969697,0.9083759026093916,132,98098.0
人工智能,video,100.0,0.9742950201034546,2,524.0
会计学,comment,73.61647361647363,0.8193407574982563,777,9025.0
会计学,content,92.44186046511628,0.893298517479453,172,131713.0
会计学,video,100.0,0.9288374284903208,6,103656.0
体育,comment,51.388888888888886,0.782847394545873,72,180.0
体育,content,76.47058823529412,0.8131296494427849,34,73967.0
兽医,comment,71.84466019417476,0.8403802641387125,103,181.0
兽医,content,81.3953488372093,0.864167314629222,43,195464.0
兽医,video,100.0,0.6900773644447327,1,30146.0
农学,comment,52.980132450331126,0.7857773540825244,151,1258.0
农学,content,90.66666666666666,0.8999061711629232,75,57661.0
农学,video,100.0,0.9840007225672404,3,1698.0
化学类,comment,58.454106280193244,0.8050118241333155,414,2396.0
化学类,content,96.7948717948718,0.9064846799159662,156,339784.0
化学类,video,100.0,0.9526041529395364,11,252111.0
历史学,comment,79.18367346938776,0.8385845146617111,490,5298.0
历史学,content,95.55555555555556,0.9000023771215369,135,92852.0
历史学,video,100.0,0.9755482971668243,4,63988.0
口腔医学,comment,64.24050632911393,0.7925861545755893,316,1837.0
口腔医学,content,92.85714285714286,0.9301037059298584,112,240368.0
口腔医学,video,100.0,0.9919149875640869,1,1105.0
哲学,comment,67.56756756756756,0.8364791219298904,185,1564.0
哲学,content,100.0,0.9104386453445141,52,17524.0
哲学,video,100.0,0.9291797876358032,1,24444.0
土木工程,comment,68.63173216885006,0.7985573523559946,2748,24603.0
土木工程,content,87.6923076923077,0.8859676641422314,455,380612.0
土木工程,video,100.0,0.9482904407713149,9,104936.0
工商管理,comment,58.575197889182064,0.7907968322331169,379,4913.0
工商管理,content,97.2972972972973,0.9238749009531897,74,226509.0
市场营销,comment,57.285714285714285,0.8045797497885567,700,5647.0
市场营销,content,89.86486486486487,0.8686246380612657,148,63719.0
市场营销,video,100.0,0.9358938336372375,3,75913.0
师范类,comment,71.15431946837313,0.8133091087004483,4063,91148.0
师范类,content,85.7392825896763,0.8407813290807101,1143,578169.0
师范类,video,96.875,0.9211606346070766,32,323844.0
建筑学,comment,86.36363636363636,0.8255526504733346,88,1981.0
建筑学,content,96.55172413793103,0.934662679146076,29,153081.0
心理学,comment,78.04154302670622,0.8550970945230931,337,3316.0
心理学,content,95.65217391304348,0.9114017719807832,138,190325.0
护理学,comment,74.92447129909365,0.8481868730570975,331,2357.0
护理学,content,89.47368421052632,0.9078055479024586,76,189886.0
数学,comment,72.72727272727273,0.820043719043929,1353,15770.0
数学,content,92.23300970873787,0.8973481180598435,206,381299.0
数学,video,100.0,0.9543193181355795,3,76329.0
数据科学,comment,81.44329896907216,0.8356247267772242,97,1115.0
数据科学,content,93.39622641509435,0.9149254903478442,106,92064.0
数据科学,video,100.0,0.9599059820175171,1,2171.0
新闻学,comment,55.289139633286325,0.7882596438459012,2836,101857.0
新闻学,content,85.21739130434783,0.8383266456749128,460,413199.0
新闻学,video,100.0,0.902923583984375,3,341.0
机械工程,comment,67.85162287480681,0.8120786460142416,647,6025.0
机械工程,content,91.74757281553399,0.88453883627086,206,118986.0
机械工程,video,100.0,0.9435844182968139,5,99176.0
材料类,comment,66.77852348993288,0.8230266105008606,298,3968.0
材料类,content,100.0,0.9121794257615063,74,31296.0
材料类,video,100.0,0.9467442035675049,2,100.0
汉语言文学,comment,68.57825567502987,0.8282913672454041,837,9834.0
汉语言文学,content,91.7948717948718,0.8913720421302013,195,240220.0
法学,comment,70.83641746854182,0.81286241419663,1351,16831.0
法学,content,91.70124481327801,0.87267459428162,241,146899.0
法学,video,100.0,0.9284170866012573,10,89080.0
物理学,comment,66.02564102564102,0.8006156499569232,312,2382.0
物理学,content,97.70114942528735,0.9188909379915259,87,150013.0
物理学,video,100.0,0.9511704921722413,5,238039.0
环境工程,comment,76.02108036890645,0.8418113640331625,759,11853.0
环境工程,content,96.63461538461539,0.8866069222298952,208,282336.0
生物工程,comment,62.43654822335025,0.7844406097572669,1182,20011.0
生物工程,content,96.44268774703558,0.8937706099197328,253,375900.0
生物工程,video,100.0,0.9560257315635681,5,239719.0
电子信息工程,comment,67.28971962616822,0.8043338886209738,428,6578.0
电子信息工程,content,92.85714285714286,0.900283794622032,196,165633.0
电子信息工程,video,50.0,0.7567655742168427,4,76880.0
电气工程,comment,67.95454545454545,0.8081131857904521,440,6243.0
电气工程,content,91.07142857142857,0.923786709351199,168,290229.0
电气工程,video,100.0,0.8329209387302399,2,76691.0
经济学,comment,78.59391395592866,0.8207843095408156,953,7784.0
经济学,content,97.35849056603773,0.9167412784864317,265,335959.0
经济学,video,100.0,0.9268059253692627,5,110241.0
网络安全,comment,76.92307692307693,0.8396664949563833,13,7.0
网络安全,content,100.0,0.9366181140043297,49,58476.0
美术,comment,61.53846153846154,0.7843693701120523,234,1093.0
美术,content,81.08108108108108,0.9147245738957379,37,240572.0
自动化,comment,78.13620071684588,0.850384761996594,279,2243.0
自动化,content,95.65217391304348,0.93019532898198,115,47784.0
自动化,video,100.0,0.9595093429088593,2,74266.0
航空航天,comment,83.33333333333334,0.8765009017217726,42,2170.0
航空航天,content,98.24561403508771,0.9428921456922564,57,73401.0
航空航天,video,100.0,0.9291797876358032,1,24444.0
艺术设计,comment,66.4488017429194,0.8049535203343643,459,5259.0
艺术设计,content,93.02325581395348,0.9027463183846585,129,209715.0
英语,comment,64.0044994375703,0.8019302995588433,889,8837.0
英语,content,97.63313609467455,0.8917230434671661,169,337760.0
英语,video,100.0,0.925868034362793,1,163667.0
药学,comment,52.0,0.7626907515525818,75,416.0
药学,content,100.0,0.9598230537441041,36,16270.0
药学,video,100.0,0.96965491771698,1,162.0
计算机科学与技术,comment,70.31700288184439,0.808622893137714,2429,33882.0
计算机科学与技术,content,88.78504672897196,0.8875815772286085,428,431781.0
计算机科学与技术,video,100.0,0.9502975436357352,13,113606.0
软件工程,comment,64.42307692307693,0.8078839062498167,312,892.0
软件工程,content,99.17355371900827,0.9243586526429357,121,36880.0
软件工程,video,100.0,0.8882580200831095,3,1433.0
通信工程,comment,70.24793388429752,0.8063640818615591,242,4698.0
通信工程,content,96.84210526315789,0.9493041584366246,95,148919.0
通信工程,video,100.0,0.9451746344566345,1,74247.0
金融学,comment,76.65726375176305,0.8217987927630522,1418,52342.0
