text,likes,platform,text_length,sentiment,confidence,mentioned_majors
其实张老师在为全国中产阶级服务，可否给全国农村子弟，城市边缘化人群指个出路，不知道圣父有没有这个能耐，出路只能是考大学？,0.0,Zhihu,60,positive,0.9735490679740906,['师范类']
我大兰大又成了唯一一个被Q的学校[doge]，但我想说我的同学们其实混的普遍还不错，不同于很多人进入大学后的迷茫和放纵，兰大人从入学第一天起就为了相同的目标——润出兰州——而努力奋斗。,0.0,Zhihu,92,positive,0.9732438921928406,['未明确提及']
我记得是个云南某地女状元进了券商[流泪] 吃饭吃饭贴面拥抱被拍了。。。的确是个美女，家庭条件的确不好，后来不知道怎么样了。,332.0,Zhihu,61,positive,0.8173263669013977,['未明确提及']
怎么说呢，其实那女的也未必相对普通人就没钱了但是这一行的基本上，都有高消费的毛病，造就了的情况就是这些人实际上只要收入没有特别高到某个水平，事实上看起来很有钱很光鲜亮丽的样子只是泡沫撑起来的，一旦没有上升渠道，马上就会“跌入谷底”这也是为什么之前有个所谓的“女强人”，因为被裁还是怎样一下子没了收入，但又无力偿还每个月几万的贷款，结果就跳了[尴尬],152.0,Zhihu,174,positive,0.93074631690979,['未明确提及']
说句不好听的，我见过很多小厂老板身边哪个没几个小三小四小五的，愿意被拍的人谁也挡不住，真的不愿意的人谁敢用强？这个世界上为了钱做妓女的成千上万，为了钱做鸭子又何止几万？金融圈也是如此，你是啥人，自然有啥命。跟学什么专业有啥关系？,148.0,Zhihu,114,negative,0.8180719017982483,['金融学']
但是有个扎心的事实，吃瓜群众一年的工资不够这个女的一年的化妆品+皮肤保养的钱。,87.0,Zhihu,39,positive,0.770789384841919,['未明确提及']
大家都是出来卖的，只不过卖的东西不一样罢了,82.0,Zhihu,21,negative,0.7760084867477417,['未明确提及']
北京的985毕业，只是这个出身，在金融圈真不算什么,71.0,Zhihu,25,positive,0.8279708027839661,['金融学']
靠近货币生产地你手随便一搂，就是人家三代人才能赚到的财富所以二代们最喜欢的是金融圈，顶级二代乐园，混什么娱乐圈的，那都是杂牌二代,49.0,Zhihu,64,positive,0.7512578368186951,['金融学']
如果随便被打几炮就能财富自由，你看看你排队的能不能排到法国,37.0,Zhihu,29,positive,0.6580480933189392,['未明确提及']
还有廖蕾饭局门，清华的参加饭局搂搂又抱抱，更震惊的是那个矮个子男的，居然能舔蓝衣服男的奶头[捂脸],34.0,Zhihu,49,positive,0.8520159125328064,['未明确提及']
建议作者抄底考古，古生物学，天文学，西方哲学，土木工程，作者实在太有远见啦[doge],25.0,Zhihu,43,neutral,0.5403793454170227,"['土木工程', '生物工程']"
如果真的有行业找不到人，待遇也不高的话，那这行业也没必要存在了,21.0,Zhihu,31,positive,0.7952808141708374,['未明确提及']
动态平衡，专业没人了，自然岗位招不到人，就会提高工资，然后看见高工资，就会又有人去读这个专业[思考],9.0,Zhihu,50,positive,0.9876914620399475,['未明确提及']
大学不是菜市场。不是，想招什么专业，想招多少都可以的。每年教育部门都会下达招生任务和计划，热门专业是可能会多给一些指标，但也不可能只招热门专业。学生报什么专业不一定上得了，超过数量了就会被调剂。好一点的学校，冷门专业你不愿意去，有的是人愿去。不说北大清华了，冷门的专业分数线都高攀不起。就一般的重点本科，也从来不会出现招不满。你考个三本的分数，让你去读一本的冷门，你愿不愿意去？多半人是愿意去的。张雪峰只是介绍了情况，不可能所有人都按照他的套路去搞，选择从来都是多样性的。他的作用只是让那些一无所知的家长和学生稍有了解，仅此而已。不要看他红，她也经常胡说八道，大家并没有那么迷信他。,4.0,Zhihu,291,positive,0.905709981918335,['师范类']
不功利的人群全家都主动去冷门的，两班倒的，收入低的行业，就解决问题了,4.0,Zhihu,34,positive,0.9322035312652588,['未明确提及']
有钱人那是想选什么选什么。普通人听了不说一定好，但也不会太差。是他推荐的有毛病吗？是大家都过的不好,4.0,Zhihu,49,negative,0.6282007098197937,['未明确提及']
张雪峰是时代的产物，也站上了时代的风口，应该说他精准找到了市场的需求，挣到了，无可厚非，作为商人，他只要不违法就没有可以指责的地方。需要反思的是这个社会，大学教育本身就是研究理论知识的地方，大规模的高等教育扩招，必然和社会就业产生巨大的冲突，真正面向社会市场需求的职业教育，谁都瞧不上谁都不重视，到底是谁的错？既然选择大规模扩招，既然选择了收割，不能又把锅甩给张雪峰，把矛盾转移给他，这是不合适的。当然了，任何事情都不可以深思，深思会犯错[捂脸]到此为止。,3.0,Zhihu,228,positive,0.9667819142341614,['师范类']
不知道有调剂吗？据我所知，公办大学的所有开设的专业都能招满人，就算是最偏远地方的市场营销专业,2.0,Zhihu,46,neutral,0.522104799747467,['未明确提及']
