major,confidence,comment_count,total_likes,positive_rate,negative_rate,neutral_rate,sentiment_index,recommendation_score,employment_major
师范类,0.8221143842155009,869,140555.0,74.91369390103567,13.23360184119678,11.852704257767549,61.68009205983889,6158.7625330758465,
土木工程,0.8059908147399307,564,151614.0,72.16312056737588,14.00709219858156,13.829787234042554,58.156028368794324,3774.8936892882825,土木工程
计算机科学与技术,0.8118988952450593,538,146877.0,70.4460966542751,16.91449814126394,12.639405204460965,53.531598513011154,3540.962960850144,计算机科学与技术
金融学,0.817296158065588,367,97722.0,81.19891008174388,8.991825613079019,9.809264305177113,72.20708446866486,2802.6956858865965,金融学
临床医学,0.8169931964536684,339,111880.0,75.81120943952803,11.799410029498524,12.389380530973451,64.01179941002951,2416.193918165625,临床医学
法学,0.8289445222042836,289,51855.0,73.70242214532871,15.916955017301039,10.380622837370241,57.785467128027676,2031.8202903281056,法学
新闻学,0.7956413252522117,368,54664.0,54.891304347826086,29.891304347826086,15.217391304347828,25.0,1849.4769585839674,新闻学
生物工程,0.8031945235102717,274,82918.0,64.23357664233576,21.532846715328464,14.233576642335766,42.7007299270073,1626.7230855904234,
英语,0.8240617030748615,216,29204.0,69.9074074074074,19.444444444444446,10.648148148148149,50.46296296296296,1431.9138914189193,英语
机械工程,0.808442001630153,224,85947.0,68.30357142857143,16.964285714285715,14.732142857142858,51.339285714285715,1423.3788981520534,机械工程
环境工程,0.8533958956766664,178,66569.0,78.08988764044943,12.359550561797752,9.550561797752808,65.73033707865169,1365.0406156393167,
电子信息工程,0.8367566281840915,168,41482.0,76.78571428571429,13.690476190476192,9.523809523809524,63.0952380952381,1242.1358462111368,电子信息工程
电气工程,0.833349652030841,147,15284.0,76.19047619047619,14.285714285714285,9.523809523809524,61.904761904761905,1074.0524859315788,电气工程及其自动化
化学类,0.8202666010889974,143,24957.0,71.32867132867133,17.482517482517483,11.188811188811188,53.846153846153854,962.7985421297783,化学
自动化,0.8511319823265076,125,34680.0,78.4,16.0,5.6000000000000005,62.400000000000006,959.849646352103,自动化
会计学,0.8211521935282331,132,24211.0,73.48484848484848,15.151515151515152,11.363636363636363,58.33333333333333,916.5910560671878,会计学
材料类,0.8352941448175455,79,15945.0,70.88607594936708,21.518987341772153,7.59493670886076,49.36708860759493,538.2793108145287,
软件工程,0.8220877950008099,65,34260.0,76.92307692307693,12.307692307692308,10.76923076923077,64.61538461538463,473.0079372847008,软件工程
通信工程,0.8507792878959138,59,24036.0,79.66101694915254,11.864406779661017,8.47457627118644,67.79661016949152,460.14529955245047,
护理学,0.8446281786475863,56,17789.0,78.57142857142857,16.071428571428573,5.357142857142857,62.5,427.6598372899171,护理学
