major,confidence,mention_count,total_likes,positive_rate,negative_rate,neutral_rate,sentiment_index,recommendation_score,employment_major,专业,本科就业率,本科月薪,学科门类,红绿牌,硕士就业率,硕士月薪,学历薪资溢价率%,学历就业率提升%,本硕薪资差,sentiment_rank,employment_rank,deviation_score,deviation_type
土木工程,0.8113591237316096,3212,510151.0,71.41967621419676,15.784557907845578,12.79576587795766,55.635118306351174,3553.3750092407636,土木工程,土木工程,87.0,7000,工科,普通,92.0,9450.0,35.0,5.0,2450.0,20.0,10.5,9.5,Matched
计算机科学与技术,0.8210396482761728,2870,579269.0,73.20557491289199,15.958188153310104,10.83623693379791,57.247386759581886,3293.249906506757,计算机科学与技术,计算机科学与技术,69.0,6500,工科,普通,74.0,8775.0,35.0,5.0,2275.0,16.0,26.5,10.5,Overrated
新闻学,0.7953450675081506,3299,515397.0,59.50287966050318,25.94725674446802,14.549863595028798,33.55562291603516,2980.6459860987006,新闻学,新闻学,65.0,5200,文法,普通,69.0,5979.0,15.0,4.0,779.0,33.0,30.0,3.0,Overrated
金融学,0.8349358652612509,1742,594594.0,79.44890929965557,11.653272101033295,8.897818599311137,67.79563719862227,2206.0924733134234,金融学,金融学,85.0,8200,经管,普通,89.0,10250.0,25.0,4.0,2050.0,6.0,12.5,6.5,Matched
临床医学,0.8319316464146291,1778,450561.0,75.25309336332958,13.048368953880765,11.698537682789652,62.204724409448815,2125.0945836249975,临床医学,临床医学,88.0,6800,医学,普通,96.0,11560.0,70.0,8.0,4760.0,9.0,9.0,0.0,Matched
数学,0.8304966851095842,1562,473398.0,75.35211267605634,14.532650448143405,10.115236875800255,60.81946222791293,1866.15998162272,数学与应用数学,数学与应用数学,80.0,6500,理学,普通,86.00000000000001,9100.0,40.0,6.0,2600.0,10.0,16.0,6.0,Overrated
法学,0.8225816914279214,1602,252810.0,74.15730337078652,14.294631710362045,11.548064918851436,59.862671660424475,1865.6491970530176,法学,法学,68.0,6500,文法,红牌,72.00000000000001,7474.0,15.0,4.0,974.0,14.0,28.5,14.5,Overrated
经济学,0.8420097427785348,1223,453984.0,82.74734260016353,8.994276369582993,8.258381030253476,73.75306623058054,1626.7924010917857,经济学,经济学,81.0,7500,经管,普通,85.00000000000001,9375.0,25.0,4.0,1875.0,3.0,15.0,12.0,Overrated
汉语言文学,0.8402106808137524,1032,250054.0,72.96511627906976,18.6046511627907,8.430232558139535,54.36046511627906,1207.863006209919,汉语言文学,汉语言文学,70.0,5000,文法,普通,74.0,5750.0,15.0,4.0,750.0,21.0,25.0,4.0,Overrated
会计学,0.8333488357628828,955,244394.0,77.17277486910994,14.031413612565444,8.795811518324607,63.1413612565445,1172.5431308843922,会计学,会计学,83.0,6800,经管,普通,87.0,8500.0,25.0,4.0,1700.0,7.0,14.0,7.0,Overrated
